评分,片名,导演,编剧,主演,类型,制片国家/地区,上映日期,短评数,影评数,链接
9.3,吉米·鸡毛逊毙了！马达翻身当主持,Jonathan Kimmel,,"马特·达蒙,艾米·亚当斯,本·阿弗莱克,艾米莉·布朗特,唐·钱德尔,雪儿·克劳,罗伯特·德尼罗,莎莉·菲尔德,安迪·加西亚,妮可·基德曼,吉米·坎摩尔,格雷戈·金尼尔,约翰·卡拉辛斯基,詹妮弗·洛佩兹,Cleto Escobedo III","喜剧,音乐,脱口秀",美国,2013-01-02(美国),全部 768 条,全部 0 条,https://movie.douban.com/subject/26721341/
9.3,“向后看 向前走”五条人线上音乐会,张晓舟,,"仁科,茂涛","音乐,真人秀",中国大陆,2020-09-17(中国大陆),全部 146 条,全部 0 条,https://movie.douban.com/subject/35205443/
9.3,马修·伯恩版《天鹅湖》,马修·伯恩,,"威尔·博泽尔,利亚姆·莫威尔,Nicole Kabera,Katrina Lyndon,Jonathon Luke Baker",歌舞,英国,2019-08-15(中国大陆),全部 310 条,全部 18 条,https://movie.douban.com/subject/34803098/
9.3,2019Avicii群星纪念音乐会,,,"亚当·兰伯特,瑞塔·奥拉,大卫·库塔,艾维奇","音乐,歌舞",瑞典,2019-12-05(瑞典),全部 44 条,全部 0 条,https://movie.douban.com/subject/34926652/
9.3,五位(还嫌少)博士重启,彼得·戴维森,,"彼得·戴维森,西尔维斯特·迈可伊,科林·贝克,保罗·麦甘恩,大卫·田纳特",喜剧,英国,2013-11-23(英国),全部 278 条,全部 1 条,https://movie.douban.com/subject/25777719/
9.3,绝对要赢 羽生结弦 向自己发起的挑战,日本テレビ,,"羽生结弦,宫野真守",,日本,2018-01-14(日本),全部 289 条,全部 4 条,https://movie.douban.com/subject/30140054/
9.3,演员工作室：老爸老妈的浪漫史,,,"詹姆斯·里普顿,乔什·拉德诺,寇碧·史莫德斯,杰森·席格尔,艾丽森·汉妮根,尼尔·帕特里克·哈里斯","喜剧,脱口秀",美国,2014-03-27,全部 113 条,全部 0 条,https://movie.douban.com/subject/25855990/
9.3,威胁等级午夜：电影,塔克·盖茨,,"莱斯利·大卫·贝克,布莱恩·鲍姆加特纳,克瑞德·布拉顿,史蒂夫·卡瑞尔,大卫·丹曼,珍娜·费舍,凯特·弗兰纳里,梅罗拉·哈丁,艾德·赫尔姆斯,拉什达·琼斯,敏迪·卡灵,安吉拉·金赛,大卫·科恩查内,约翰·卡拉辛斯基,保罗·立博斯坦,B·J·诺瓦克,奥斯卡·努内斯,克雷格·罗宾森,菲利丝·史密斯,雷恩·威尔森",喜剧,美国 / 英国,2019-12-10(美国),全部 85 条,全部 0 条,https://movie.douban.com/subject/34955889/
9.3,TME live 五月天“好好好想见到你”陪你跨年演唱会线上特别版,,,"陈信宏,温尚翊,石锦航,蔡升晏,刘冠佑","音乐,真人秀",中国台湾,2021-12-31(中国大陆),全部 735 条,全部 1 条,https://movie.douban.com/subject/35717094/
9.2,平克·弗洛伊德吉他手大卫·吉尔摩庞贝古城演唱会现场,Gavin Elder,,David Gilmour,,英国,2017-09-13(英国),全部 98 条,全部 4 条,https://movie.douban.com/subject/27133213/
9.2,化学兄弟：不去想,Adam Smith,,"Tom Rowlands,Ed Simons,Mario Kobayashi Stopford",,英国,,全部 99 条,全部 1 条,https://movie.douban.com/subject/10514980/
9.2,さんタク 2015,,,"木村拓哉,明石家秋刀鱼","真人秀,脱口秀",日本,2015-01-01,全部 29 条,全部 0 条,https://movie.douban.com/subject/26774146/
9.2,疯狂动物城,拜伦·霍华德,,"金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯,邦尼·亨特,唐·雷克,汤米·钟,J·K·西蒙斯,奥克塔维亚·斯宾瑟,艾伦·图代克,夏奇拉,雷蒙德·S·佩尔西,德拉·萨巴,莫里斯·拉马奇,菲尔·约翰斯顿,约翰·迪·马吉欧,凯蒂·洛斯,吉塔·雷迪,杰西·科尔蒂,汤米·利斯特,乔希·达拉斯,瑞奇·摩尔,凯斯·索西,彼得·曼斯布里奇,拜伦·霍华德,杰拉德·布什,马克·史密斯,乔西·特立尼达,约翰·拉维尔,克里斯汀·贝尔,吉尔·科德斯,梅利莎·古德温","喜剧,动画,冒险",美国,"2016-03-04(中国大陆/美国),2020-07-24(中国大陆重映)",全部 351296 条,全部 4038 条,https://movie.douban.com/subject/25662329/
9.2,辩护人,杨宇硕,,"宋康昊,金英爱,吴达洙,郭度沅,任时完,宋永彰,郑元中,赵敏基,李杭娜,李星民,车光洙,韩基重,沈熙燮,赵莞基,李姃垠",剧情,韩国,2013-12-18(韩国),全部 125955 条,全部 1900 条,https://movie.douban.com/subject/21937445/
9.2,天书奇谭,王树忱,,"丁建华,毕克,苏秀,程晓桦,施融,于鼎,杨成纯,孙渝烽,胡庆汉,尚华,刘广宁,乔榛,严崇德,伍经纬,童自荣,程玉珠,曹雷,王建新,杨文元,富润生,刘钦,刘风,翟巍,张欣,郭易峰,王肖兵","动画,奇幻",中国大陆,"1983(中国大陆),2021-11-05(中国大陆重映)",全部 45677 条,全部 362 条,https://movie.douban.com/subject/1428581/
9.2,新·福音战士剧场版：终,庵野秀明,,"绪方惠美,林原惠美,宫村优子,石田彰,坂本真绫,三石琴乃,山口由里子,立木文彦,清川元梦,关智一,岩永哲哉,岩男润子,长泽美树,子安武人,优希比吕,大塚明夫,泽城美雪,大原沙耶香,伊濑茉莉也,胜杏里,山寺宏一,内山昂辉,川田绅司,兴津和幸,下山吉光,星野充昭,佐藤蓝,泷泽罗子,堀越真己,八百屋杏,斋藤千和,小野冢贵志,仪武祐子,手冢弘道,塙爱美,中务贵幸,大南悠,丹羽正人,广濑小夜,中村源太,武藏真之介,新祐树,前田玲奈,村田知沙,井关花芽,虎岛贵明,神木隆之介","剧情,科幻,动画",日本,"2021-03-08(日本),2021-08-13(美国网络)",全部 25485 条,全部 626 条,https://movie.douban.com/subject/10428501/
9.2,老友记重聚特辑,本·温斯顿,,"詹妮弗·安妮斯顿,柯特妮·考克斯,马修·派瑞,大卫·休默,丽莎·库卓,马特·勒布朗,瑞茜·威瑟斯彭,Lady Gaga,大卫·贝克汉姆,贾斯汀·比伯,詹姆斯·柯登,辛迪·克劳馥,卡拉·迪瓦伊,埃利奥特·古尔德,基特·哈灵顿,拉里·哈金,敏迪·卡灵,托马斯·列农,克里斯蒂娜·皮克勒斯,汤姆·塞立克,詹姆斯·迈克尔·泰勒,玛姬·惠勒,马拉拉·尤萨夫扎伊,BTS","喜剧,爱情",美国,2021-05-27(美国网络),全部 26246 条,全部 165 条,https://movie.douban.com/subject/34908189/
9.2,鬼灭之刃 那田蜘蛛山篇,,,"花江夏树,鬼头明里,下野纮,松冈祯丞","剧情,动作,奇幻",日本,2020-10-17(日本),全部 1597 条,全部 2 条,https://movie.douban.com/subject/35231832/
9.2,神探夏洛克：福至如归,,,"本尼迪克特·康伯巴奇,马丁·弗瑞曼,鲁珀特·格雷夫斯,露易丝·布瑞丽,乔纳森·阿里斯,Jason Thomas Brown,Paula Cowling,George Appleby,Laura Dale,Kishan Maru,James Pimenta","剧情,悬疑,惊悚,犯罪",英国,2013-12-24(英国),全部 6397 条,全部 7 条,https://movie.douban.com/subject/25798411/
9.2,摇滚红与黑,François Chouquet,,"Côme,Haylen,Yoann Launay,Julie Fournier,Michel Lerousseau,Patrice Maktav,Elsa Pérusin,Cynthia Tolleron,Philippe Escande","剧情,音乐,歌舞",法国,2016-09-22(法国),全部 5050 条,全部 58 条,https://movie.douban.com/subject/30484534/
9.2,超感猎杀：完结特别篇,拉娜·沃卓斯基,,"裴斗娜,杰米·克莱顿,蒂娜·德赛,塔彭丝·米德尔顿,马克思·雷迈特,米格尔·安赫尔·西尔维斯特,布莱恩·J·史密斯,托比·奥伍梅尔,弗莉玛·阿吉曼,帕鲁布·科里,阿方索·埃雷拉,泰伦斯·曼,达丽尔·汉纳,纳威恩·安德利维斯,奈斯鲍提斯塔,斯蒂芬·鲍克思,阿米拉·加扎拉,约书亚·格罗斯,埃伦迪拉·伊瓦拉,雅丽·乔维尔,西尔维斯特·迈可伊,Annie Munch,埃文特·斯特朗,马克斯·毛夫","剧情,科幻,同性",美国,2018-06-08(美国),全部 17504 条,全部 207 条,https://movie.douban.com/subject/27040774/
9.2,剧场版魔法少女小圆 新篇 叛逆的故事,宫本幸裕,,"悠木碧,斋藤千和,水桥香织,喜多村英梨,加藤英美里,野中蓝,阿澄佳奈,后藤邑子,岩永哲哉,吉田圣子,新谷良子,岩男润子,松冈祯丞,赤崎千夏,五十岚裕美,上田丽奈,木岛隆一,河西健吾,阿座上洋平,前田邦宏",动画,日本,2013-10-26(日本),全部 5509 条,全部 76 条,https://movie.douban.com/subject/10569151/
9.2,极限公益联欢会,严敏 Min Yan,,"张艺兴,罗志祥,黄渤,黄磊,孙红雷,王迅,庾澄庆,蔡依林,林俊杰,杨魏玲花,曾毅","音乐,歌舞,真人秀",中国大陆,2016-07-10,全部 958 条,全部 0 条,https://movie.douban.com/subject/26830080/
9.2,吹响悠风号剧场版：誓言的终章,石原立也,,"黑泽朋世,朝井彩加,丰田萌绘,安济知佳,石谷春贵,藤村鼓乃美,山冈百合,津田健次郎,小堀幸,雨宫天,七濑彩夏,久野美咲,土屋神叶,寿美菜子,樱井孝宏",动画,日本,2019-04-19(日本),全部 2595 条,全部 31 条,https://movie.douban.com/subject/27062638/
9.2,孤独的美食家 除夕特别篇～ 最后一食！濑户内出差篇,,,松重丰,剧情,日本,2017-12-31(日本),全部 1730 条,全部 7 条,https://movie.douban.com/subject/27203607/
9.2,吹响悠风号剧场版：想要传达的旋律,石原立也,,"黑泽朋世,朝井彩加,丰田萌绘,安济知佳,寿美菜子,早见沙织,茅原实里,石谷春贵,沼仓爱美,樱井孝宏","剧情,动画",日本,2017-09-30(日本),全部 751 条,全部 3 条,https://movie.douban.com/subject/26994755/
9.2,IT狂人特别篇,格雷厄姆·莱恩汉,,"克里斯·奥多德,理查德·艾欧阿德,凯瑟琳·帕金森",喜剧,英国,2013-09-27(英国),全部 6892 条,全部 11 条,https://movie.douban.com/subject/20453087/
9.2,剧场版魔法少女小圆 后篇 永远的故事,新房昭之,,"悠木碧,斋藤千和,水桥香织,喜多村英梨,加藤英美里,野中蓝,新谷良子,后藤邑子,岩永哲哉,岩男润子,吉田圣子,松本大,松冈祯丞,梅津秀行,大久保瑠美,松嵜丽,佐仓绫音",动画,日本,"2012-10-27(中国香港),2012-10-13(日本)",全部 1139 条,全部 8 条,https://movie.douban.com/subject/10569150/
